docno,title,text
en.15.139.461.2009.8.11,EU to tighten sanctions after Suu Kyi conviction,"STOCKHOLM, Aug 11 (bdnews24.com/Reuters) - The European Union said it would toughen its sanctions against Myanmar after Tuesday's latest conviction of opposition leader Aung San Suu Kyi. France and Britain called for global arms and economic embargoes. Suu Kyi was sentenced on Tuesday to a further 18 months in detention after an American man breached the terms of her house arrest by swimming uninvited to her lakeside home in May. Sweden said the EU would ""further reinforce its restrictive measures targeting the regime of Burma/Myanmar, including its economic interests"", but gave no further details. ""The proceedings against Daw Aung San Suu Kyi, on charges that were brought 20 years after she was first wrongfully arrested, have been in breach of national and international law,"" it said, demanding her immediate and unconditional release. French President Nicolas Sarkozy and British Prime Minister Gordon Brown said the verdict was a political step by the military rulers of Myanmar, formerly known as Burma, to prevent Suu Kyi taking part in elections next year. ""The Burmese authorities have shown with this iniquitous ruling their decision to ignore pressing messages from the international community,"" Sarkozy's office said in a statement. ""The president asks the European Union to react rapidly by adopting new sanctions against the Burmese regime, which should particularly target the resources that it profits directly from -- wood and ruby mining."" French Foreign Minister Bernard Kouchner said there should be a global embargo on arms sales to Myanmar and a ""robust mechanism"" to keep track of wood and ruby exports. The EU has long prohibited any transfer of arms from the bloc to Myanmar, or equipment that might be used for internal repression. After a crackdown on pro-democracy protests led by Buddhist monks in Sept. 2007, it targeted 1,207 Myanmar firms with measures including visa bans and asset freezes. It also maintains a visa ban and asset freezes on members of the military government and its backers. Brown said in a statement he was ""saddened and angry"" at the ""monstrous"" verdict. ""The facade of (Suu Kyi's) prosecution is made more monstrous because its real objective is to sever her bond with the people for whom she is a beacon of hope and resistance,"" he said, calling for the U.N. Security Council to impose a worldwide ban on arms sales to Myanmar."
en.15.139.169.2009.8.11,American in Suu Kyi case back in Myanmar jail,"YANGON, Aug 11(bdnews24.com/Reuters) - An American at the center of Myanmar opposition leader Aung San Suu Kyi's trial on security charges has been moved back to prison from hospital, raising the chances of their trial resuming on Tuesday as planned. John Yettaw, whose bizarre swim to Suu Kyi's lakeside home in May breached the terms of her house arrest, was moved back to his prison cell shortly before midnight on Monday, a hospital source said. He had been taken to hospital on August 3 after falling ill in prison. A verdict in the trial had been expected on August 4 but the judge adjourned the case until Tuesday, August 11. Yettaw, 54, from Missouri, is on trial alongside Suu Kyi and two of her housemaids. He is charged with immigration offences and for swimming in a non-swimming area. Suu Kyi, long-time leader of the pro-democracy movement in army-ruled Myanmar, has spent 14 of the past 20 years in detention of one form or another. The prosecution says Yettaw's two-day stay at Suu Kyi's home in May, even though he was uninvited, meant she violated an internal security law. She faces up to five years more in detention if found guilty. Yettaw, a Mormon, has told the court God sent him to warn Suu Kyi she would be assassinated by ""terrorists."" Critics say the trial has been trumped up by the military government as a way of keeping Suu Kyi out of circulation in the run-up to and during a general election planned for 2"
en.15.139.408.2009.8.10,"HC asks Coco, lawyers to explain forgery allegations","Dhaka, Aug 10 (bdnews24.com)  The High Court on Monday asked Arafat Rahman Coco, son of opposition leader Khaleda Zia, and his lawyers to explain the forgery allegations against them after the government accused them last week of filing a petition with the court through fake power of attorney. Coco's petition to the High Court, filed on Aug 2, challenges a money laundering case against him filed by the Anticorruption Commission in March this year. The government filed a counter petition with the court three days later, on Aug 5, accusing Coco and his lawyers of producing a fake power of attorney in filing the petition. The government sought permission to file criminal cases against those who were involved with adopting illegal means in filing Coco's petition. The bench of justices Syed Refat Ahmed and Moinul Islam Chowdhury on Monday asked Coco, his two lawyers, power of attorney Taherul Islam Touhid and barrister Mahbubuddin Khokan to explain within three weeks why forgery charges should not be investigated. The court also stayed the hearing on Coco's petition. The same High Court bench is proceeding separately on Coco's petition that was filed on Aug 2 by Taherul Islam Touhid claiming power of attorney on behalf of Coco who is currently residing in Thailand. Attorney general Mahbubey Alam told the court on Aug 5 that the proper official of the Bangladesh embassy in Thailand had not certified the power of attorney claimed by Touhid in the hearing of Coco's petition. Alam also said the power of attorney showed a false address. He accused Coco's lawyer Mahbub Uddin Khokon of falsely attesting his client's signature on the alleged power of attorney. He said ""it was clear"" Coco did not authorise Touhid's signature and that the power of attorney was ""a forged and fabricated document"". Alam said it needs investigating and criminal charges should be filed. The ACC case against Coco, filed under the Money Laundering Act 2009, accuses him of laundering funds to Singapore worth nearly US $932,000 and Singapore $2.8 million. It further accuses him of earning the money illegally from foreign companies in exchange for awarding government contracts between 2004 and 2007, when his mother was prime minister. Coco is receiving treatment at Bangkok on parole granted on July 19 last year after he fell sick in jail. Stay upheld on illegal wealth case In a separate development on Monday, the Appellate Division rejected a petition by the Anticorruption Commission seeking to appeal against a High Court stay order on proceedings of an illegal wealth case against Coco. b"
en.15.139.442.2009.8.12,Jennifer Hudson gives birth to boy,"LOS ANGELES, Aug 11(bdnews24.com/Reuters) - Singer and actress Jennifer Hudson has given birth to her first child -- a boy named David Daniel Otunga Jr, her publicist said on Tuesday. Hudson, 27, suffered both triumph and tragedy in the last 12 months winning a Grammy award four months after the murders in her Chicago home town of her mother, brother and nephew. The Oscar-winning star of ""Dreamgirls"" has been engaged for almost a year to actor David Otunga. ""The baby is beautiful and perfect,"" said Hudson's publicist Lisa Kasteler. ""His parents are ecstat"
en.15.139.434.2009.8.11,W.House says Obama strategy will win Afghan war,"GUADALAJARA, Mexico, Tue Aug 11,(bdnews24.com/Reuters) - The White House said on Monday that President Barack Obama has a ""winning"" strategy in Afghanistan and enough forces on the ground to achieve US goals despite advances by the Taliban. The assurances came as the top US commander in Afghanistan warned that the Taliban were gaining momentum, while gunmen and bombers stormed government buildings near Kabul just 10 days before a presidential election, White House spokesman Bill Burton said that Obama had authorized 21,000 new troops for Afghanistan since taking office in January and not all of these were on the ground yet. ""The president's strategy hasn't fully been implemented just yet. But we do believe that with the strategy that we have, with assets that we're putting on the ground, that we are going to be able to achieve the goals that we're trying to achieve,"" Burton told reporters on Obama's Air Force One flight back to Washington from a North American summit in Mexico. U.S. Army General Stanley McChrystal, who will soon present an assessment of the Afghan war, said in a newspaper interview published on Monday that the resurgent Taliban have forced a change of tactics on foreign forces and that record casualty figures would remain high for some months. ""It's a very aggressive enemy right now,"" McChrystal, who is also the NATO commander in Afghanistan, told The Wall Street Journal (online.wsj.com/). ""We've got to stop their momentum, stop their initiative. It's hard work."" The White House said McChrystal was preparing a thorough assessment of the situation on the ground in Afghanistan and US officials will see what his review turns up. ""Obviously the president is in close contact with his commanders on the ground, but ... thinks that the strategy that he put in place is a winning one,"" Burton said. Violence across Afghanistan this year had already reached its worst levels since the Taliban were ousted by US-led Afghan forces in 2001 and escalated dramatically after major offensives were launched in southern Helmand province in July. Three Afghan police and two civilians were killed in a strike by Taliban gunmen and suicide bombers on government buildings near Kabul on Monday. Washington plans to increase the number of its troops to about 68,000 by year's end, more than double the 32,000 it had stationed in Afghanistan at the end of 2008. McChrystal may ask for more after he submits his strategy review in coming we"
en.15.139.219.2009.8.10,Snowin' in the Wind? Dylan Christmas album due,"LONDON, Aug 10 (bdnews24.com/Reuters) - Bob Dylan is set to release an album of Christmas songs, including ""Here Comes Santa Claus"" and the carol ""O Little Town of Bethlehem,"" according to music websites. Rumours of the album first emerged on Isis magazine website, which is devoted to Dylan. It later reported the songs had been recorded in Jackson Browne's studio in Santa Monica, California, in May. David Hidalgo of Los Lobos, who played accordion on Dylan's chart-topping latest album ""Together Through Life,"" is one of the musicians who took part in the sessions, it said. ""It is a personal project of Dylan himself rather than an idea put forward by his record company,"" Isis said. Billboard magazine said it had confirmed the album existed. Other songs included ""Must Be Santa"" and ""I'll be Home for Christmas,"" it said. Dylan was originally of the Jewish faith and was a Born Again Christian from 1979-1981, releasing three religious-themed albums. ""At first glance it may sound bizarre, but I don't think Dylan cares much about what his detractors might make of it,"" Scott Marshall, who has written a book 'God and Bob Dylan: A Spiritual Life' told bullypulpit.com. ""He's both never renounced being Jewish or renounced his experience with Jesus some three decades ago,"" Marshall said. Dylan, now aged 68, is currently touring the United States as part of his so-called ""Never Ending Tour."" Britain's Uncut magazine meanwhile poked fun at the project, serving up Yuletide puns on Dylan songs such as ""A Hard Reindeer's A-Gonna Fall,"" ""Sleigh Lady Sleigh"" and ""Girl From The North Pole Country."
en.15.139.217.2009.8.10,`G.I. Joe' movie leads worldwide invasion,"LOS ANGELES, Aug 10 (bdnews24.com/Reuters) - A new action movie based on the ""G.I. Joe"" line of toy soldiers crushed enemy forces at the worldwide box office during the weekend, ending the three-week reign of the sixth ""Harry Potter"" fantasy. ""G.I. Joe: The Rise of Cobra"" sold about $100.3 million worth of tickets, distributor Paramount Pictures said on Sunday. The three-day take of $56.2 million from the United States and Canada ranks as the fourth-highest August opening ever, and comes after the $175 million effects extravaganza had been besieged by bad buzz for months. The foreign component of $44.1 million -- from 35 markets comprising 75 percent of international sales -- was led by South Korea ($5.6 million). The film opened at No. 1 in two countries not exactly favorable to American militarism, China ($4.8 million) and Russia ($4.6 million). ""Harry Potter and the Half-Blood Prince"" earned $31 million worldwide, taking its total to $816 million. The North American total of $274 million was bolstered by a fourth-place $8.9 million weekend. The film was released by Warner Bros. Pictures, a unit of Time Warner Inc. Besides ""G.I. Joe,"" other new entries in North America included Columbia Pictures' Meryl Streep culinary offering ""Julie & Julia"" at No. 2 with a tasty $20.1 million, and indie producer Relativity Media's horror-thriller ""A Perfect Getaway"" at No. 7 with just $5.8 million. Last weekend's North American champion, the Adam Sandler comedy ""Funny People,"" slid to No. 5 with $7.9 million, taking the 10-day total for the $75 million comedy to a disappointing $40.4 million. The film was released by Universal Pictures, a unit of General Electric Co. ""G.I. Joe"" stars Channing Tatum and Marlon Wayans as two young soldiers recruited by the international G.I. Joe military force to help save the world. It was directed by Stephen Sommers of ""The Mummy"" fame. BAD BUZZ While based on the venerable Hasbro Inc action figures, the film tips its hat to the multilateral series of dolls relaunched in the 1980s rather than the American-oriented military heroes coveted by boys in the 1960s and 1970s. (G.I. is a generic term for U.S. soldiers.) Given the wide awareness of the brand, fans were underwhelmed by a trailer that premiered in February during the Super Bowl football championship, the most-watched television event of the year in the United States. Paramount opted not to screen the movie in advance for critics, a gambit often reserved for box office clunkers. In the end, reviews were predictably bad but not as bad as those for such recent releases as ""G-Force"" and ""The Ugly Truth."" ""I think it plays to real people,"" said Don Harris, executive vice president of distribution at the Viacom Inc-owned studio. ""They check their disbelief at the door and have a good time with the movie."" Surveys indicated the film played best in the American heartland -- anywhere ""east of Beverly Hills and west of Manhattan island,"" Harris said. It also was especially popular with Hispanic and black moviegoers, he said. Overall, male moviegoers accounted for 60 percent of the audience, with an even split either side of 25 years. Based on the film's better-than-expected $22 million opening on Friday, Paramount had forecast a $60 million weekend. But Saturday sales fell more steeply than expected. Harris said he was not troubled by the decline. The record for an August opening was set in 2007 by ""The Bourne Ultimatum"" with $69.3 million, while ""Rush Hour 2"" kicked off with $67.4 million in 2001, and ""Signs"" with $60 million in 2002. All ended up with more than $220 million. Columbia Pictures offered some effective counter-programing with ""Julie & Julia,"" which pulled in older women. Streep plays Julia Child, while Amy Adams stars in a parallel story as a young woman who seeks to replicate the noted TV chef's culinary exploits. ""We're finding that men love it too,"" said Rory Bruer, president of worldwide distribution at the Sony Corp-owned studio. He expected the $38 million film, which was directed by Nora Ephron (""Sleepless in Seattle""), to simmer in theaters for some time"
en.15.139.230.2009.8.14,"Clijsters marches on, Williams sisters ousted","CINCINNATI, Aug 14 (bdnews24.com/Reuters) - Kim Clijsters' brilliant comeback continued at the Cincinnati Open with a 6-4, 4-6, 6-2 win over French Open champion Svetlana Kuznetsova on Thursday, but the Williams sisters both fell at the third round hurdle. Second seed Serena, struggling with a virus, lost 7-5, 6-4 to Austria's Sybille Bammer while in-form Italian Flavia Pennetta ended the hopes of third seed Venus with a 7-6, 6-4 victory. Former world number one Clijsters, unseeded here in her first tournament after a two-year break, won an enthralling two-hour encounter with Russian Kuznetsova. ""Physically I've been training harder than ever,"" the Belgian told reporters. ""I didn't doubt myself (in the third set). ""I have to say I feel really good,"" added Clijsters, who gave birth to her first child during her time away from the circuit. ""I don't feel tired or drained or anything. Just a few little aches and pains from getting back into playing matches."" Retrieving everything, Clijsters broke in the second game of the match and though Kuznetsova clawed back to 4-4, she snatched the set when the sixth-seeded Russian netted a backhand. The 26-year-old looked set to win in straight sets when she led 3-0 in the second, but Kuznetsova found form to level at 3-3. HEAVY GROUNDSTROKES The Russian denied Clijsters a 5-3 lead by correctly challenging a call, then broke the Belgian in the following game and served out the set. Trading heavy groundstrokes, Kuznetsova saved a break point in the fourth game of the decider before Clijsters stepped up another level and broke twice to seal victory. Serena Williams was a shadow of the player who won Wimbledon last month and Bammer took full advantage to clinch a meeting with fifth seed Jelena Jankovic, who edged out Victoria Azarenka 7-5, 7-6. Sister Venus racked up 38 unforced errors as 14th seed Pennetta outplayed the American to clinch her fourth victory in their seven meetings. ""I'm really happy,"" Pennetta said. ""After winning last week in Los Angeles I took a lot of confidence and it showed on the court today."" Pennetta, who has now won 14 consecutive matches, constantly made Williams play one more shot than she wanted and unleashed a series of stunning passing shots. The Italian won the tiebreak 7-2 and one break in the second set was enough to give her victory. ""After a while it was obvious that she was just keeping the ball in play and waiting for me to self-destruct,"" Williams said. ""I kept pressing that red button today and it didn't work out."" Top seed Dinara Safina will be Clijsters' next opponent after she easily beat Peng Shuai of China 6-3, 6-4. Pennetta will play unseeded Daniela Hantuchova after the Slovakian beat seventh seed Vera Zvonareva of Russia 7-6, 0-6, 7-6 in a see-sawing battle lasting two hours and 50 minutes. Fourth seed Elena Dementieva of Russia will meet Caroline Wozniacki in the other quarter-f"
en.15.139.449.2009.8.11,Ousted Proshika chief secures HC order,"Dhaka, August 11 (bdnews24.com)Sacked Proshika chairman, Kazi Faruque Ahmed, obtained High Court permission on Tuesday to enter the NGO's Dhaka headquarters in Mirpur. The bench of justice Md Abdus Salam gave the order on a petition filed by Faruque, but denied his request to overturn a decision of Proshika's governing body that sacked him as head of the NGO on May 24 this year. ""With this order, Faruque will now be able to enter the Proshika office,"" Motaher Hossain, a lawyer for the plaintiff, told bdnews24.com following the decision. Moniruzzaman Asad, counsel for recently installed Proshika chairman MA Wadud, said the current Proshika committee will carry on with its work as before. ""Faruque can enter the Proshika office, but not his men,"" said Asad. The governing body of Proshika, one of the country's largest non-government organisations, replaced founding chairman Faruque Ahmed in May following repeated allegations by employees of corruption and nepotism. On Aug 1, the ousted chairman led over 200 supporters in a demonstration to the NGO's headquarters and attempted to force their way into the building, sparking violent clashes with Proshika employees that left at least 35 injured. b"
en.15.139.75.2009.8.11,Myanmar's Suu Kyi ordered back into house detention,"YANGON Tue Aug 11, (bdnews24.com/Reuters) - A court in army-ruled Myanmar on Tuesday sentenced opposition leader Aung San Suu Kyi to 18 months in detention, a verdict that drew condemnation abroad and will keep her off the political stage ahead of next year's elections. The court handed down a three-year prison term for violation of an internal security law, but that was immediately halved on the orders of the military government, which said the Nobel peace laureate could serve the time in her Yangon home. ""Aung San Suu Kyi ... was found guilty of the charges and I hereby pass the sentence of three years' imprisonment,"" said the judge, drawing gasps from the courtroom. Moments after the verdict was passed, however, Myanmar's home minister, Major-General Muang Oo, stood before the court and announced that the junta had decided to commute her sentence. Muang Oo said they had taken into account the fact that Suu Kyi was the daughter of Myanmar independence hero Aung San as well as ""the need to preserve community peace and tranquility and prevent any disturbances in the road map to democracy"". The ""road map"" refers to plans laid down by the junta towards what it sees as democracy, which culminate in multi-party elections planned for next year. Muang Oo's announcement appeared to contradict the junta's repeated statements to the international community that its judiciary is independent. Critics say the case was fabricated by the military to keep the charismatic Suu Kyi out of circulation ahead of the polls. British Prime Minister Gordon Brown said he was ""saddened and angry"" at the sentencing of the former Burma's democracy icon. ""The facade of her prosecution is made more monstrous because its real objective is to sever her bond with the people for whom she is a beacon of hope and resistance,"" he said in a statement. Australia demanded that the junta immediately release Suu Kyi along with 2,000 political prisoners. Suu Kyi has already spent 14 of the past 20 years in detention of one sort or another. The latest charges stemmed from a mysterious incident in which an American, John Yettaw, swam to Suu Kyi's lakeside home in May and stayed there uninvited for two days, which breached the terms of her house arrest and broke a security law protecting the state from ""subversive elements"". Yettaw was sentenced to seven years' hard labour in a parallel trial on three charges, including immigration offences and ""swimming in a non-swimming area"". Journalists had previously been blocked from the trial but were allowed to attend the reading of Tuesday's verdict. LENIENT? Suu Kyi's detention was described as a suspended sentence rather than house arrest, although restrictions placed on her by the junta appeared similar to those of her previous detention. Analysts said that by giving her the minimum sentence and then cutting it in half -- and allowing her to serve it at home -- the junta was hoping to depict itself to outsiders as lenient. The commuted term may have been a ploy to appease Asian allies in particular, among them China, India and Thailand, whose trade has propped up a state crippled by international sanctions. ""This is a very calibrated verdict in that everybody knows that the West is going to be unhappy,"" said Ian Holliday, a Myanmar expert from the University of Hong Kong. ""The regime is calculating that by commuting it down to one-and-a-half years and by allowing her to serve in her home rather than in prison, most Asian states will be prepared to go along with that."" The hearings were held in Yangon's Insein Prison amid tight security, with at least 2,000 security personnel in the area. State newspapers all ran the same commentary on Tuesday that implicitly warned Suu Kyi's supporters not to cause trouble and told outsiders not to meddle in Myanmar's affairs. ""The people who favour democracy do not want to see riots and protests that can harm their goal,"" said the commentary in the New Light of Myanmar and other newspapers. Yettaw was returned to prison from hospital late on Monday after suffering several seizures. His lawyer has said the American suffers from epilepsy, diabetes and heart trouble. Yettaw, a Mormon, told the court that God had sent him to warn Suu Kyi she would be assassinated by ""terroris"
